Flota,Ano,CONCEPTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,PROMEDIO
Artesanal,1993,CAMARON BLCO.,1608.75,1610.56,1615.9,1596.17,1666.67,2064.3,1984.2,1809.54,1577.03,1731.98,1765.6,1764.08,1732.9
Artesanal,1993,CAMARON CAFE,,,,,,,,,,,,,
Artesanal,1993,CAMARON ROSADO,,,,,,,,,,,,,
Artesanal,1993,CAMARON FIDEL,,,,,,,,,,,525,,525
Artesanal,1993,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1993,CAMARON REAL,,,,,,,,,,,,,
Artesanal,1993,CAMARON TITI,401.6,396.58,,,,429.95,387.66,400,388.99,387.93,338.37,350,386.79
Artesanal,1993,TOT CAMARON   (4),,,,,,,,,,,,,
Artesanal,1993,LANG PACIFICA (CTE),1759.54,1572.37,1938.22,1858.17,2053.08,2144.75,1882.05,2283.91,2086.86,993.91,1726.62,1687.01,1832.21
Artesanal,1993,LANG CARIBE,,,,,,,,,964.5,1011.62,1000,1000,994.03
Artesanal,1993,TOT LANGOSTA  (5),,,,,,,,,,,,,
Artesanal,1993,CALAMAR,293.75,320,264.38,206.42,206.43,112.5,169.88,146.36,151.67,236.96,300.66,291.88,225.07
Artesanal,1993,PULPO,648.66,508.63,518.34,453.08,305.33,281.87,366.12,421.86,478.95,413.23,491.33,549.5,453.08
Artesanal,1993,PIANGUAS,381.61,369.37,403.78,219.82,428.37,477.71,457.23,83.43,467.96,68.01,441.65,158.58,329.79
Artesanal,1993,CAMBUTE,,242.69,,,,,,,,,,,242.69
Artesanal,1993,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Artesanal,1993,B. TOT MARISCOS õ(4+5+6),,,,,,,,,,,,,
Artesanal,1993,ALETA TIBURON,1304.08,603.47,1091.53,422.21,250.47,314.49,2289.65,314.14,652.4,1746.86,1374.32,1443.68,983.94
Artesanal,1993,FILET,450,,650,688.79,461.9,,210.18,243.49,265.55,205.21,300,211.61,368.67
Artesanal,1993,BUCHE,,,,,,,,,,,,1000,1000
Artesanal,1993,CANGREJO,,,,,,75,75,,92.21,81,,,80.8
Artesanal,1993,C. TOT OTROS   (7),,,,,,,,,,,,,
Artesanal,1993,D. TORTUGA     (8),,,,,,,,,,,,,
Artesanal,1993,GRAN TOTAL õ(A+B+C+D),,,,,,,,,,,,,
Industrial,1993,PRIMERA GDE.,,,436.01,440,,,,,,,380,300,389
Industrial,1993,PRIMERA PEQ.,155.86,242.11,201.1,201.85,184.83,218.72,210.35,151.93,228.06,156.74,266.01,133.27,195.9
Industrial,1993,CLASIFICADO,164.61,194.28,186.73,162.35,160.91,167.19,203.14,199.93,164.94,166.25,152.22,123.83,170.53
Industrial,1993,CHATARRA,80.87,99.14,91.08,76.3,97.55,115.48,120.1,95.83,103.02,101.93,70.84,45.29,91.45
Industrial,1993,AGRIA COLA,220.37,231.29,199.86,302.16,245.62,205.84,220.04,244.53,254.12,218.99,247.6,178.75,230.76
Industrial,1993,CABRILLA,,269.78,250,142.31,197.31,297.75,279.85,,376.32,312,158.15,164.13,244.76
Industrial,1993,PARGO SEDA,,,300,,,,,,,,,,300
Industrial,1993,DORADO,,,,,,,,,,,,,
Industrial,1993,MARLIN BLCO.,,,,,,,,,,,,,
Industrial,1993,MARLIN ROS.,,,,,,,,,,,,,
Industrial,1993,TREACHER,,,,,,,,,,,,,
Industrial,1993,PEZ VELA,,,,,,,,,,,,,
Industrial,1993,PEZ ESPADA,,,,,,,,,,,,,
